Versjon;Ansvar;Beløp;Oppdatert;;;;;;;;;;;;;;;
2021PVBEND;021060;538000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;-14000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061050;59000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;041040;850000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;62000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021120;-269921;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;011040;422311;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061040;593000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061140;0;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;-651563;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;9000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061150;2000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;580000;1362000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;110000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061160;38032;12/1/2021;;;;;;;;;;;;;;;
2021PVBEND;021100;331541;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061010;62000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061140;28000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;011060;337821;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021010;161000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;041020;297000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;-270000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041070;914000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;646178;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;768000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;9000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;011040;-310000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061090;-65000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;508000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051030;-145424;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041010;-11000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011090;-525000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;-102000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;-115000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;051010;468310;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;-73000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;266318;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061070;230000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;285925;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;-4207;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041050;-179444;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;-533000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031030;235608;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041040;-841000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011010;414000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;348032;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;-111000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;031040;179000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061120;327562;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;051010;-253000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061160;283000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061060;112000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061060;38411;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041090;-1000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;371049;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061080;327896;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;0;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;061010;-37000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;031050;463000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;74000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021100;690000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061070;0;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;011060;767000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;548000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;25000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051050;476357;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;-850009;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;381000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011040;704000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041030;1083000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061030;239098;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041090;654000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;021090;444000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041100;107000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061090;175115;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;629000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;051050;-5000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061160;423288;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;051010;-981000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;489000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;167000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;79000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;46000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;235272;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;051070;378196;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;-492000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031030;273622;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;-17948;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;011010;349264;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061010;458000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;44074;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021100;-111000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;-103000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;021090;1267812;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;011070;60000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;-287000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;62000;12/10/2021;;;;;;;;;;;;;;;
