Enhet;Måned;År;Regnskap
E031010 - Bratsberg skole;2;2021;968 830
E031010 - Bratsberg skole;3;2021;890 090
E031010 - Bratsberg skole;4;2021;958 350
E031010 - Bratsberg skole;5;2021;865 490
E031010 - Bratsberg skole;6;2021;-842 450
E031010 - Bratsberg skole;7;2021;962 800
E031010 - Bratsberg skole;8;2021;966 860
E031010 - Bratsberg skole;9;2021;810 100
E031010 - Bratsberg skole;10;2021;852 640
E031010 - Bratsberg skole;11;2021;963 960
E031010 - Bratsberg skole;12;2021;567 890
E031020 - Hoeggen skole;1;2021;3 254 380
E031020 - Hoeggen skole;2;2021;3 293 880
E031020 - Hoeggen skole;3;2021;3 970 000
E031020 - Hoeggen skole;4;2021;3 761 120
E031020 - Hoeggen skole;5;2021;3 874 360
E031020 - Hoeggen skole;6;2021;-3 023 680
E031020 - Hoeggen skole;7;2021;4 005 510
E031020 - Hoeggen skole;8;2021;3 731 800
E031020 - Hoeggen skole;9;2021;2 967 820
E031020 - Hoeggen skole;10;2021;3 489 930
E031020 - Hoeggen skole;11;2021;1 741 050
E031020 - Hoeggen skole;12;2021;834 790
E031030 - Nardo skole;1;2021;2 561 040
E031030 - Nardo skole;2;2021;2 746 930
E031030 - Nardo skole;3;2021;2 635 430
E031030 - Nardo skole;4;2021;2 646 260
E031030 - Nardo skole;5;2021;2 467 290
E031030 - Nardo skole;6;2021;-1 435 090
E031030 - Nardo skole;7;2021;2 968 140
E031030 - Nardo skole;8;2021;2 682 290
E031030 - Nardo skole;9;2021;2 495 160
E031030 - Nardo skole;10;2021;2 446 410
E031030 - Nardo skole;11;2021;2 103 200
E031030 - Nardo skole;12;2021;2 178 310
E031040 - Nidarvoll skole;1;2021;2 835 910
E031040 - Nidarvoll skole;2;2021;3 399 440
E031040 - Nidarvoll skole;3;2021;3 353 170
E031040 - Nidarvoll skole;4;2021;3 389 020
E031040 - Nidarvoll skole;5;2021;2 892 770
E031040 - Nidarvoll skole;6;2021;-2 116 060
E031040 - Nidarvoll skole;7;2021;3 286 170
E031040 - Nidarvoll skole;8;2021;3 501 260
E031040 - Nidarvoll skole;9;2021;3 904 620
E031040 - Nidarvoll skole;10;2021;3 306 160
E031040 - Nidarvoll skole;11;2021;3 072 520
E031040 - Nidarvoll skole;12;2021;615 690
E031050 - Steindal skole;1;2021;2 336 760
E031050 - Steindal skole;2;2021;2 427 470
E031050 - Steindal skole;3;2021;2 368 130
E031050 - Steindal skole;4;2021;2 380 780
E031050 - Steindal skole;5;2021;2 341 290
E031050 - Steindal skole;6;2021;-696 610
E031050 - Steindal skole;7;2021;2 236 050
E031050 - Steindal skole;8;2021;2 410 560
E031050 - Steindal skole;9;2021;2 645 110
E031050 - Steindal skole;10;2021;2 621 310
E031050 - Steindal skole;11;2021;2 532 790
E031050 - Steindal skole;12;2021;2 156 370
E031060 - Sunnland skole;1;2021;2 479 390
E031060 - Sunnland skole;2;2021;2 630 070
E031060 - Sunnland skole;3;2021;2 672 790
E031060 - Sunnland skole;4;2021;2 751 480
E031060 - Sunnland skole;5;2021;2 604 950
E031060 - Sunnland skole;6;2021;-1 547 000
E031060 - Sunnland skole;7;2021;2 366 920
E031060 - Sunnland skole;8;2021;2 713 240
E031060 - Sunnland skole;9;2021;2 661 010
E031060 - Sunnland skole;10;2021;3 461 120
E031060 - Sunnland skole;11;2021;2 991 750
E031060 - Sunnland skole;12;2021;255 500
E031070 - Utleira skole;1;2021;2 940 580
E031070 - Utleira skole;2;2021;3 160 650
E031070 - Utleira skole;3;2021;2 609 160
E031070 - Utleira skole;4;2021;2 996 580
E031070 - Utleira skole;5;2021;2 642 270
E031070 - Utleira skole;6;2021;-1 093 490
E031070 - Utleira skole;7;2021;3 502 780
E031070 - Utleira skole;8;2021;3 103 200
E031070 - Utleira skole;9;2021;3 383 010
E031070 - Utleira skole;10;2021;3 247 850
E031070 - Utleira skole;11;2021;3 141 520
E031070 - Utleira skole;12;2021;2 396 280
E041010 - Byåsen skole;1;2021;3 904 000
E041010 - Byåsen skole;2;2021;4 103 140
E041010 - Byåsen skole;3;2021;4 249 320
E041010 - Byåsen skole;4;2021;3 895 380
E041010 - Byåsen skole;5;2021;4 309 570
E041010 - Byåsen skole;6;2021;-642 120
E041010 - Byåsen skole;7;2021;4 245 060
E041010 - Byåsen skole;8;2021;5 406 160
E041010 - Byåsen skole;9;2021;3 766 170
E041010 - Byåsen skole;10;2021;4 874 970
E041010 - Byåsen skole;11;2021;4 511 080
E041010 - Byåsen skole;12;2021;-1 903 120
E041020 - Dalgård skole og ressurssenter;1;2021;7 798 420
E041020 - Dalgård skole og ressurssenter;2;2021;7 776 560
E041020 - Dalgård skole og ressurssenter;3;2021;7 557 590
E041020 - Dalgård skole og ressurssenter;4;2021;8 465 390
E041020 - Dalgård skole og ressurssenter;5;2021;7 873 410
E041020 - Dalgård skole og ressurssenter;6;2021;-665 610
E041020 - Dalgård skole og ressurssenter;7;2021;7 908 960
E041020 - Dalgård skole og ressurssenter;8;2021;8 259 080
E041020 - Dalgård skole og ressurssenter;9;2021;7 720 890
E041020 - Dalgård skole og ressurssenter;10;2021;8 086 940
E041020 - Dalgård skole og ressurssenter;11;2021;7 704 770
E041020 - Dalgård skole og ressurssenter;12;2021;5 978 090
E041030 - Hallset skole;1;2021;2 687 690
E041030 - Hallset skole;2;2021;3 211 500
E041030 - Hallset skole;3;2021;2 946 800
E041030 - Hallset skole;4;2021;3 841 830
E041030 - Hallset skole;5;2021;3 193 120
E041030 - Hallset skole;6;2021;-971 430
E041030 - Hallset skole;7;2021;3 250 750
E041030 - Hallset skole;8;2021;3 800 150
E041030 - Hallset skole;9;2021;3 892 940
E041030 - Hallset skole;10;2021;3 763 260
E041030 - Hallset skole;11;2021;2 602 440
E041030 - Hallset skole;12;2021;2 466 000
E041040 - Ila skole;1;2021;3 974 360
E041040 - Ila skole;2;2021;3 846 160
E041040 - Ila skole;3;2021;4 506 000
E041040 - Ila skole;4;2021;4 718 980
E041040 - Ila skole;5;2021;4 235 320
E041040 - Ila skole;6;2021;-1 880 130
E041040 - Ila skole;7;2021;4 489 220
E041040 - Ila skole;8;2021;4 954 530
E041040 - Ila skole;9;2021;4 530 010
E041040 - Ila skole;10;2021;4 896 140
E041040 - Ila skole;11;2021;4 462 330
E041040 - Ila skole;12;2021;1 964 850
E041050 - Selsbakk skole;1;2021;2 266 210
E041050 - Selsbakk skole;2;2021;2 417 100
E041050 - Selsbakk skole;3;2021;2 389 580
E041050 - Selsbakk skole;4;2021;2 396 390
E041050 - Selsbakk skole;5;2021;2 405 390
E041050 - Selsbakk skole;6;2021;-536 090
E041050 - Selsbakk skole;7;2021;2 141 820
E041050 - Selsbakk skole;8;2021;2 493 160
E041050 - Selsbakk skole;9;2021;2 487 820
E041050 - Selsbakk skole;10;2021;2 509 740
E041050 - Selsbakk skole;11;2021;2 430 310
E041050 - Selsbakk skole;12;2021;2 194 110
E041060 - Stavset skole;1;2021;1 947 090
E041060 - Stavset skole;2;2021;2 013 140
E041060 - Stavset skole;3;2021;2 437 430
E041060 - Stavset skole;4;2021;2 400 070
E041060 - Stavset skole;5;2021;2 305 800
E041060 - Stavset skole;6;2021;-568 080
E041060 - Stavset skole;7;2021;2 808 970
E041060 - Stavset skole;8;2021;1 943 670
E041060 - Stavset skole;9;2021;2 607 710
E041060 - Stavset skole;10;2021;2 624 220
E041060 - Stavset skole;11;2021;2 994 200
E041060 - Stavset skole;12;2021;2 242 440
E041070 - Sverresborg skole;1;2021;4 438 950
E041070 - Sverresborg skole;2;2021;3 874 870
E041070 - Sverresborg skole;3;2021;3 804 240
E041070 - Sverresborg skole;4;2021;3 277 720
E041070 - Sverresborg skole;5;2021;3 789 350
E041070 - Sverresborg skole;6;2021;-1 638 160
E041070 - Sverresborg skole;7;2021;3 644 030
E041070 - Sverresborg skole;8;2021;3 614 110
E041070 - Sverresborg skole;9;2021;3 935 960
E041070 - Sverresborg skole;10;2021;4 253 210
E041070 - Sverresborg skole;11;2021;3 632 120
E041070 - Sverresborg skole;12;2021;2 895 380
E041080 - Ugla skole;1;2021;3 240 100
E041080 - Ugla skole;2;2021;2 826 650
E041080 - Ugla skole;3;2021;3 221 120
E041080 - Ugla skole;4;2021;3 253 810
E041080 - Ugla skole;5;2021;3 204 590
E041080 - Ugla skole;6;2021;-392 160
E041080 - Ugla skole;7;2021;2 898 630
E041080 - Ugla skole;8;2021;3 031 460
E041080 - Ugla skole;9;2021;3 156 210
E041080 - Ugla skole;10;2021;3 595 360
E041080 - Ugla skole;11;2021;3 136 460
E041080 - Ugla skole;12;2021;2 992 240
E041090 - Åsveien skole og ressurssenter;1;2021;5 576 470
E041090 - Åsveien skole og ressurssenter;2;2021;6 216 760
E041090 - Åsveien skole og ressurssenter;3;2021;6 431 460
E041090 - Åsveien skole og ressurssenter;4;2021;5 882 320
E041090 - Åsveien skole og ressurssenter;5;2021;6 003 910
E041090 - Åsveien skole og ressurssenter;6;2021;-1 640 280
E041090 - Åsveien skole og ressurssenter;7;2021;6 164 500
E041090 - Åsveien skole og ressurssenter;8;2021;6 947 490
E041090 - Åsveien skole og ressurssenter;9;2021;6 720 030
E041090 - Åsveien skole og ressurssenter;10;2021;7 372 510
E041090 - Åsveien skole og ressurssenter;11;2021;6 536 910
E041090 - Åsveien skole og ressurssenter;12;2021;5 003 180
E041100 - Nyborg skole;1;2021;1 955 800
E041100 - Nyborg skole;2;2021;1 446 580
E041100 - Nyborg skole;3;2021;1 580 010
E041100 - Nyborg skole;4;2021;1 964 460
E041100 - Nyborg skole;5;2021;1 934 970
E041100 - Nyborg skole;6;2021;-399 750
E041100 - Nyborg skole;7;2021;2 187 670
E041100 - Nyborg skole;8;2021;1 968 320
E041100 - Nyborg skole;9;2021;2 067 200
E041100 - Nyborg skole;10;2021;2 197 940
E041100 - Nyborg skole;11;2021;1 892 290
E041100 - Nyborg skole;12;2021;1 624 780
E041820 - Lianvatnet skole, skoleavd BUP;1;2021;1 295 940
E041820 - Lianvatnet skole, skoleavd BUP;2;2021;1 246 490
E041820 - Lianvatnet skole, skoleavd BUP;3;2021;1 274 230
E041820 - Lianvatnet skole, skoleavd BUP;4;2021;1 248 660
E041820 - Lianvatnet skole, skoleavd BUP;5;2021;1 180 090
E041820 - Lianvatnet skole, skoleavd BUP;6;2021;-382 840
E041820 - Lianvatnet skole, skoleavd BUP;7;2021;-6 678 350
E041820 - Lianvatnet skole, skoleavd BUP;8;2021;1 271 210
E041820 - Lianvatnet skole, skoleavd BUP;9;2021;-509 780
E041820 - Lianvatnet skole, skoleavd BUP;10;2021;1 404 900
E041820 - Lianvatnet skole, skoleavd BUP;11;2021;-4 593 160
E041820 - Lianvatnet skole, skoleavd BUP;12;2021;3 442 810
